latitude,longitude,date,time,temperature,condition,visibility,precipitation,wind_speed,humidity
37.54993,-122.05498,2025-08-15,07:00,62,Foggy,1.2,0,5,92
37.54879,-122.05647,2025-08-15,07:15,61,Foggy,1.0,0,6,94
37.54725,-122.05849,2025-08-15,07:30,62,Foggy,0.8,0,4,95
37.54666,-122.05927,2025-08-15,07:45,63,Foggy,1.5,0,3,91
37.54640,-122.0596,2025-08-15,08:00,64,Foggy,2.0,0,4,90
37.65249,-122.09918,2025-08-15,07:00,68,Clear,10,0,3,75
37.64485,-122.09403,2025-08-15,07:15,67,Clear,10,0,4,78
37.63682,-122.08826,2025-08-15,07:30,69,Clear,10,0,5,74
37.62511,-122.07994,2025-08-15,07:45,70,Clear,10,0,4,72
37.61492,-122.07266,2025-08-15,08:00,71,Clear,10,0,3,70
37.49207,-121.94797,2025-08-15,07:00,72,Clear,10,0,6,65
37.48386,-121.93732,2025-08-15,07:15,73,Clear,10,0,5,63
37.46345,-121.92642,2025-08-15,07:30,74,Clear,10,0,4,60
37.44613,-121.92149,2025-08-15,07:45,75,Clear,10,0,3,58
37.42583,-121.91670,2025-08-15,08:00,76,Clear,10,0,4,55
37.8715226,-122.273042,2025-08-15,07:00,65,Cloudy,8,0,8,82
37.7983,-122.2502,2025-08-15,07:15,68,Clear,9,0,7,78
37.6304904,-122.4110835,2025-08-15,07:30,65,Clear,10,0,9,74
37.5384,-122.3067,2025-08-15,07:45,67,Clear,10,0,8,70
37.3824,-121.9651,2025-08-15,08:00,72,Clear,10,0,5,65
